기온분석
[검색조건]
자료구분 : 일
지역/지점 : 양평
기간 : 20130101~20151231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2013-01-01,202,-6.7,-14,-0.1
2013-01-02,202,-10.1,-14,-2.6
2013-01-03,202,-12.9,-17,-8
2013-01-04,202,-14.5,-20.6,-7.5
2013-01-05,202,-12,-19.5,-4.8
2013-01-06,202,-9.3,-15.1,-0.7
2013-01-07,202,-7.7,-14.3,0.2
2013-01-08,202,-6.2,-12.3,0.3
2013-01-09,202,-9.2,-13.9,-4.1
2013-01-10,202,-10.5,-17.9,-2.7
2013-01-11,202,-6.2,-12.7,-1
2013-01-12,202,-2.8,-7.2,1.9
2013-01-13,202,-3.8,-8.1,4.2
2013-01-14,202,-4.2,-10.4,3.4
2013-01-15,202,-5,-10.4,1.7
2013-01-16,202,-2.9,-7.8,1.9
2013-01-17,202,-4.5,-8.3,0.1
2013-01-18,202,-7.2,-13.1,-1.2
2013-01-19,202,-2.7,-6.2,3
2013-01-20,202,-1.1,-7.5,5.3
2013-01-21,202,1.5,0.3,2.7
2013-01-22,202,2.8,1,5.6
2013-01-23,202,1.3,0.5,2.1
2013-01-24,202,-0.6,-5.1,3.2
2013-01-25,202,-8,-9.9,-4.7
2013-01-26,202,-9.1,-13.3,-4.9
2013-01-27,202,-8.5,-14.7,-3
2013-01-28,202,-5.5,-13.5,-0.8
2013-01-29,202,0.6,-1.6,2.6
2013-01-30,202,3.2,0,8.8
2013-01-31,202,4.3,-2,12
2013-02-01,202,6.4,4.2,8.3
2013-02-02,202,1.3,-2.9,6.6
2013-02-03,202,-3.1,-6.5,-0.6
2013-02-04,202,0,-4.3,4.5
2013-02-05,202,-2.1,-6.9,1.6
2013-02-06,202,-0.1,-2,2.5
2013-02-07,202,-9.2,-13.7,-1.8
2013-02-08,202,-11.8,-17.3,-6.5
2013-02-09,202,-9.5,-18.1,-2.3
2013-02-10,202,-4.5,-8.4,1.6
2013-02-11,202,-6.2,-13.6,0.5
2013-02-12,202,-3.8,-7.1,0.3
2013-02-13,202,-3.5,-10.6,3.1
2013-02-14,202,-0.5,-7.2,6.4
2013-02-15,202,-0.5,-4.4,3.7
